Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK043905;Wijk 05 Purmer-Noord;24.9
;WK043906;Wijk 06 Purmer-Zuid;30
;WK043907;Wijk 07 Weidevenne;29.5
;WK043908;Beemster;31.4
GM0441;Totaal;Schagen;27.2
;WK044101;Schagerbrug;28.5
;WK044102;Schagen-Zuid;28.4
;WK044103;Burgerbrug;27.4
;WK044104;Sint Maarten;28.5
;WK044105;Warmenhuizen;28
;WK044106;Tuitjenhorn;27.2
;WK044107;Waarland;27.3
;WK044108;Dirkshorn;26.9
;WK044109;Oudesluis;26.5
;WK044110;Schagen-Centrum;26.2
;WK044111;Petten;26.9
;WK044112;Sint Maartensbrug;30.2
;WK044113;t Zand;24.4
;WK044114;Sint Maartensvlotbrug;26
;WK044115;Callantsoog;28.2
;WK044116;Schagen-West;26.2
;WK044117;Schagen-Oost;30.2
;WK044118;Schagen-Noord;24.8
GM0448;Totaal;Texel;25.5
;WK044800;Wijk 00 Het Oude Land en duingebied;25.6
;WK044801;Wijk 01 Het Nieuwe Land;24.8
GM0450;Totaal;Uitgeest;30.2
;WK045000;Wijk 00 Uitgeest;30.2
GM0451;Totaal;Uithoorn;30.1
;WK045115;Wijk 15 Dorpscentrum;32.1
;WK045125;Wijk 25 Thamerdal;25.5
;WK045135;Wijk 35 Zijdelwaard;26
;WK045145;Wijk 45 Legmeer;31.7
;WK045150;Wijk 50 Langs de Vuurlinie;37.9
;WK045155;Wijk 55 Veilinggebied;.
;WK045165;Wijk 65 Meerwijk;34.6
;WK045175;Wijk 75 Bedrijventerrein;30.7
;WK045185;Wijk 85 Meerwijk;30.6
;WK045190;Wijk 90 Glastuinbouwgebied;29.6
;WK045195;Wijk 95 Veenweidegebied;27.1
GM0453;Totaal;Velsen;28.6
;WK045300;Wijk 00 Velsen-Zuid en Driehuis;38.2
;WK045301;Wijk 01 IJmuiden-Noord;25.4
;WK045302;Wijk 02 IJmuiden-Zuid;25.8
;WK045303;Wijk 03 IJmuiden-West;26.6
;WK045304;Wijk 04 Zee- en Duinwijk;24.2
;WK045305;Wijk 05 Velsen-Noord;22.5
;WK045306;Wijk 06 Santpoort-Noord;32.8
;WK045307;Wijk 07 Santpoort-Zuid;39.8
;WK045308;Wijk 08 Velserbroek;30
;WK045309;Wijk 09 Spaarndammerpolder;29.9
GM0473;Totaal;Zandvoort;30
;WK047301;Zandvoort Noord;25.1
;WK047302;Zandvoort Zuid;32.5
;WK047303;Bentveld;47.2
;WK047304;Buitengebied;.
GM0479;Totaal;Zaanstad;26.3
;WK047911;Wijk 11 Zaandam Zuid;23.3
;WK047912;Wijk 12 Poelenburg;18.8
;WK047913;Wijk 13 Pelders- en Hoornseveld;21.7
;WK047914;Wijk 14 Rosmolenwijk;24.9
;WK047915;Wijk 15 Kogerveldwijk;22.6
;WK047916;Wijk 16 Zaandam Noord;27.8
;WK047921;Wijk 21 Oude Haven;29.8
;WK047922;Wijk 22 Zaandam West;28.5
;WK047923;Wijk 23 Nieuw West;29.9
;WK047931;Wijk 31 Oud Koog a/d Zaan;25.7
;WK047932;Wijk 32 Westerkoog;29.5
;WK047941;Wijk 41 Oud Zaandijk;27.2
;WK047942;Wijk 42 Rooswijk;27.3
;WK047951;Wijk 51 Wormerveer;25.2
;WK047961;Wijk 61 Krommenie Oost;25.5
;WK047962;Wijk 62 Krommenie West;27.7
;WK047971;Wijk 71 Assendelft-Zuid;28.8
;WK047972;Wijk 72 Assendelft-Noord;28.5
;WK047981;Wijk 81 Westzaan;31.8
GM0482;Totaal;Alblasserdam;25.7
;WK048201;Wijk 01 Centrum;26.9
;WK048202;Wijk 02 Kinderdijk;25.9
;WK048203;Wijk 03 Blokweer;25.1
;WK048204;Wijk 04 Souburgh;25
;WK048205;Wijk 05 Bedrijventerrein;.
;WK048206;Wijk 06 Landelijk gebied;30.4
GM0484;Totaal;Alphen aan den Rijn;29
;WK048401;Oudshoorn;28.9
;WK048402;Ridderveld;26
;WK048403;Zegersloot;26.7
;WK048404;Hoorn;26.1
;WK048405;Hoge Zijde;29.1
;WK048406;Lage Zijde;30.7
;WK048407;Steekterpolder;29.9
;WK048408;Kerk en Zanen;33.1
;WK048409;Rietveld;.
;WK048431;Benthuizen;27.8
;WK048445;Aarlanderveen;31.1
;WK048470;Boskoop;28.6
;WK048471;Zwammerdam;30.4
;WK048491;Hazerswoude-Dorp;29.8
;WK048494;Hazerswoude-Rijndijk;28
;WK048496;Koudekerk aan den Rijn;29
GM0489;Totaal;Barendrecht;31.1
;WK048901;Wijk 01 Centrum;26.8
;WK048902;Wijk 02 Noord;23.8
;WK048903;Wijk 03 Binnenland;27.8
;WK048904;Wijk 04 Oranjewijk;35.7
;WK048905;Wijk 05 Buitenoord;30.2
;WK048906;Wijk 06 Ter Leede;35.8
;WK048907;Wijk 07 Paddewei;25.3
;WK048908;Wijk 08 Molenvliet;30.3
;WK048909;Wijk 09 Nieuweland;33
;WK048910;Wijk 10 Dorpzicht;33.3
;WK048911;Wijk 11 Bijdorp;33.4
;WK048912;Wijk 12 Smitshoek;30.8
;WK048913;Wijk 13 Voordijk;44.7
;WK048914;Wijk 14 Meerwede;30.9
;WK048915;Wijk 15 Waterkant;32.2
;WK048916;Wijk 16 Havenkwartier;35.4
;WK048917;Wijk 17 Gaatkensoog;36.7
;WK048918;Wijk 18 Riederhoek;31.2
;WK048919;Wijk 19 Vrijheidsakker;33.1
;WK048920;Wijk 20 Vrijenburg;28.6
;WK048930;Wijk 30 Buitengebied Noord;28
;WK048931;Wijk 31 Buitengebied Zuid;32.4
;WK048950;Wijk 50 Bedrijventerreinen;.
GM0498;Totaal;Drechterland;27.4
;WK049800;Hoogkarspel;26.5
;WK049801;Westwoud;27
;WK049802;Oosterblokker;30.5
;WK049803;Venhuizen;26.2
;WK049804;Wijdenes;30.4
;WK049805;Schellinkhout;31.8
;WK049806;Hem;28.1
;WK049807;Oosterleek;32.4
GM0502;Totaal;Capelle aan den IJssel;27.8
;WK050201;Capelle West en 's Gravenland;33
;WK050202;Middelwatering West;26.4
;WK050203;Middelwatering Oost;24.1
;WK050204;Oostgaarde Zuid;30.4
;WK050205;Oostgaarde Noord;22.6
;WK050206;Schenkel;28.5
;WK050207;Schollevaar Zuid;26.6
;WK050208;Schollevaar Noord;28.7
;WK050209;Rivium;31.5
GM0503;Totaal;Delft;26.5
;WK050311;Wijk 11 Binnenstad;31.4
;WK050312;Wijk 12 Vrijenban;26.1
;WK050313;Wijk 13 Hof van Delft;27.7
;WK050314;Wijk 14 Voordijkshoorn;30.6
;WK050316;Wijk 16 Delftse Hout;.
;WK050322;Wijk 22 Tanthof-West;28.9
;WK050323;Wijk 23 Tanthof-Oost;27.3
;WK050324;Wijk 24 Voorhof;22.1
;WK050325;Wijk 25 Buitenhof;21.7
;WK050326;Wijk 26 Abtswoude;.
;WK050327;Wijk 27 Schieweg;35.7
;WK050328;Wijk 28 Wippolder;23.3
;WK050329;Wijk 29 Ruiven;28.3
GM0505;Totaal;Dordrecht;27
;WK050501;Wijk 01 Binnenstad;34.5
;WK050502;Wijk 02 Noordflank;28.2
;WK050503;Wijk 03 Oud Krispijn;22
;WK050504;Wijk 04 Nieuw-krispijn;21.6
;WK050505;Wijk 05 Het Reeland;27.5
;WK050506;Wijk 06 Staart;23.5
;WK050507;Wijk 07 Wielwijk;22.7
;WK050508;Wijk 08 Crabbehof/Zuidhoven;21.9
;WK050509;Wijk 09 Sterrenburg;26.1
;WK050510;Wijk 10 Dubbeldam;32.1
;WK050511;Wijk 11 Stadspolders;29.1
;WK050519;Wijk 19 Industriegebied West;26.9
;WK050598;Wijk 98 Verspreide bebouwing;28.4
GM0512;Totaal;Gorinchem;27.6
;WK051201;Wijk 01 Gorinchem binnenstad;33
;WK051202;Wijk 02 Wijdschild;30.5
;WK051203;Wijk 03 Lingewijk;24.3
;WK051204;Wijk 04 haarwijk;24
;WK051205;Wijk 05 Stalkaarsen;25.8
;WK051206;Wijk 06 Gildenwijk;21.3
;WK051207;Wijk 07 Schelluinsestraat;23.7
;WK051208;Wijk 08 Avelingen Oost;.
;WK051209;Wijk 09 Avelingen West;.
;WK051210;Wijk 10 Molenvliet;.
;WK051211;Wijk 11 laag Dalem;30.4
;WK051212;Wijk 12 Dalem;30
;WK051213;Wijk 13 Hoog Dalem;32.9
;WK051214;Wijk 14 Bedrijventerrein Oost;.
;WK051215;Wijk 15 Papland;.
;WK051216;Wijk 16 schotdeuren;29.7
;WK051217;Wijk 17 Bedrijventerrein Noord;.
;WK051218;Wijk 18 Landelijk gebied West;23.8
;WK051219;Wijk 19 Landelijk gebied Noord;.
;WK051220;Wijk 20 Landelijk gebied Oost;.
;WK051221;Wijk 21 Landelijk gebied Zuid;.
GM0513;Totaal;Gouda;27.9
;WK051301;Binnenstad;33
;WK051302;De Korte Akkeren;22.9
;WK051303;Bloemendaal;30.5
;WK051304;Plaswijck;27.6
;WK051305;Noord;28
;WK051306;Kort Haarlem;26.6
;WK051307;Goverwelle;27.3
;WK051308;Stolwijkersluis;39.7
;WK051309;Westergouwe;29.6
GM0518;Totaal;'s-Gravenhage;27.8
;WK051801;Wijk 01 Oostduinen;.
;WK051802;Wijk 02 Belgisch Park;36.4
;WK051803;Wijk 03 Westbroekpark en Duttendel;53.4
;WK051804;Wijk 04 Benoordenhout;48.9
;WK051805;Wijk 05 Archipelbuurt;52.7
;WK051806;Wijk 06 Van Stolkpark en Scheveningse Bo;62.8
;WK051807;Wijk 07 Scheveningen;30.6
;WK051808;Wijk 08 Duindorp;24.2
;WK051809;Wijk 09 Geuzen- en Statenkwartier;41.5
;WK051810;Wijk 10 Zorgvliet;54.2
;WK051811;Wijk 11 Duinoord;42.7
;WK051812;Wijk 12 Bomen- en Bloemenbuurt;32.2
;WK051813;Wijk 13 Vogelwijk;45.7
;WK051814;Wijk 14 Bohemen en Meer en Bos;35
;WK051815;Wijk 15 Kijkduin en Ockenburgh;42.2
;WK051816;Wijk 16 Kraayenstein en Vroondaal;34.6
;WK051817;Wijk 17 Loosduinen;25.7
;WK051818;Wijk 18 Waldeck;26.5
;WK051819;Wijk 19 Vruchtenbuurt;33
;WK051820;Wijk 20 Valkenboskwartier;26.7
;WK051821;Wijk 21 Regentessekwartier;30.1
;WK051822;Wijk 22 Zeeheldenkwartier;33.5
;WK051823;Wijk 23 Willemspark;54.2
;WK051824;Wijk 24 Haagse Bos;41.1
;WK051825;Wijk 25 Mariahoeve en Marlot;27.7
;WK051826;Wijk 26 Bezuidenhout;35.2
;WK051827;Wijk 27 Stationsbuurt;23.2
;WK051828;Wijk 28 Centrum;31.5
;WK051829;Wijk 29 Schildersbuurt;16.2
;WK051830;Wijk 30 Transvaalkwartier;17.3
;WK051831;Wijk 31 Rustenburg en Oostbroek;21.4
;WK051832;Wijk 32 Leyenburg;25.7
;WK051833;Wijk 33 Bouwlust en Vrederust;19.6
;WK051834;Wijk 34 Morgenstond;21.1
;WK051835;Wijk 35 Zuiderpark;22.8
;WK051836;Wijk 36 Moerwijk;18.2
;WK051837;Wijk 37 Groente- en Fruitmarkt;18.6
;WK051838;Wijk 38 Laakkwartier en Spoorwijk;19.6
;WK051839;Wijk 39 Binckhorst;37.4
;WK051840;Wijk 40 Wateringse Veld;29.5
;WK051841;Wijk 41 Hoornwijk;27.9
;WK051842;Wijk 42 Ypenburg;31
;WK051843;Wijk 43 Forepark;45.3
;WK051844;Wijk 44 Leidschenveen;30.8
GM0523;Totaal;Hardinxveld-Giessendam;25.5
;WK052301;Neder Hardinxveld;25.4
;WK052302;De Peulen;24.8
;WK052303;Boven Hardinxveld;25.2
;WK052304;Giessendam;26
GM0531;Totaal;Hendrik-Ido-Ambacht;28.8
;WK053101;Wijk 01 Centrum;25.7
;WK053102;Wijk 02 Krommeweg;29.1
;WK053103;Wijk 03 De Volgerlanden;31.3
;WK053104;Wijk 04 Sandelingen-Ambacht;41.6
;WK053105;Wijk 05 De Oevers;31.9
GM0532;Totaal;Stede Broec;25.6
;WK053201;Stede Broec Buitengebied;35.2
;WK053202;Stede Broec Noord;27.4
;WK053203;Stede Broec Zuid;23.4
GM0534;Totaal;Hillegom;28.8
;WK053401;Hillegom Midden;26
;WK053402;Hillegom Noord;29.2
;WK053403;Hillegom Zuid;28.4
;WK053404;Hillegom West;33.1
;WK053405;Buitengebied;31.5
GM0537;Totaal;Katwijk;26.6
;WK053701;Katwijk Noord;24.8
;WK053702;'t Heen;.
;WK053703;Katwijk aan den Rijn;26.2
;WK053705;Katwijk aan Zee;26.1
;WK053706;Landelijk gebied Katwijk;.
;WK053707;Rijnsburg;28.2
;WK053708;Valkenburg;28.6
GM0542;Totaal;Krimpen aan den IJssel;27.2
;WK054200;Wijk 00 Krimpen aan den IJssel;27.2
GM0546;Totaal;Leiden;29.5
;WK054600;Binnenstad-Zuid;30.2
;WK054601;Binnenstad-Noord;28.5
;WK054602;Stationsdistrict;35
;WK054603;Leiden-Noord;26
;WK054604;Roodenburgerdistrict;33.7
;WK054605;Bos- en Gasthuisdistrict;27
;WK054606;Morsdistrict;28.7
;WK054607;Boerhaavedistrict;35.8
;WK054608;Merenwijkdistrict;29.3
;WK054609;Stevenshofdistrict;28.5
GM0547;Totaal;Leiderdorp;31.2
;WK054700;Wijk 00;30.4
;WK054701;Wijk 01;33.9
;WK054702;Wijk 02;31.5
GM0553;Totaal;Lisse;28.9
;WK055301;Lisse Noord;28.3
;WK055302;Centrum;30.7
;WK055303;Lisse Zuid;27.8
;WK055304;Buitengebied;29.6
GM0556;Totaal;Maassluis;26.9
;WK055601;Wijk 01 Taanschuurpolder;27.1
;WK055602;Wijk 02 Dijkpolder;24.3
;WK055603;Sluispolder;25.8
;WK055604;Wijk 04 Kapelpolder;26.4
;WK055605;Wijk 05 Burgemeesterswijk;27
;WK055606;Wijk 06 Steendijkpolder;30
;WK055607;Wijk 07 Aalkeetpolder;39.5
;WK055608;Wijk 08 Wilgenrijk;39.6
GM0569;Totaal;Nieuwkoop;29.3
;WK056900;Wijk 00;29.7
;WK056901;Wijk 01 Nieuwveen;28.5
;WK056902;Wijk 02 Zevenhoven;29.9
;WK056903;Wijk 03 Ter Aar;29
GM0575;Totaal;Noordwijk;30.8
;WK057500;Noordwijk Zee;35.7
;WK057501;Noordwijk Binnen;30.3
;WK057502;Noordwijk Buitengebied;35.1
;WK057503;Noordwijkerhout;28.2
;WK057504;Noordwijkerhout Buitengebied;33.4
;WK057505;De Zilk;27.4
GM0579;Totaal;Oegstgeest;38.5
;WK057901;Oud Oegstgeest;48.8
;WK057902;Oudenhof;34.6
;WK057903;De Kwaak;44.3
;WK057904;Oegstgeest Noord;34.2
;WK057905;Oegstgeest West;36.1
GM0589;Totaal;Oudewater;29.2
;WK058901;Hekendorp;30.1
;WK058902;Oudewater;28.7
;WK058903;Papekop;28.6
;WK058904;Snelrewaard;34
GM0590;Totaal;Papendrecht;27.9
;WK059001;Westpolder;26.6
;WK059002;Molenvliet;27.7
;WK059003;Kraaihoek;24.5
;WK059004;Middenpolder;29.5
;WK059005;Wilgendonk;29.7
;WK059006;De Kooy-Oosteind;29.1
;WK059007;Oostpolder;31.9
;WK059008;Vriesenpolder;.
;WK059009;De Noordoever;.
GM0597;Totaal;Ridderkerk;26.8
;WK059701;Centrum;24.9
;WK059702;West;24.1
;WK059703;Oost;24.3
;WK059704;Drievliet;26.9
;WK059705;Het Zand;31.6
;WK059706;Slikkerveer;27.5
;WK059707;Bolnes;26
;WK059708;Rijsoord;32.2
;WK059709;Oostendam;29.1
;WK059710;Donkersloot;30.5
;WK059711;Verenambacht;.
;WK059712;Cornelisland;.
GM0599;Totaal;Rotterdam;26.1
;WK059901;Rotterdam Centrum;35.1
;WK059903;Delfshaven;22.8
;WK059904;Overschie;27.7
;WK059905;Noord;28.3
;WK059906;Hillegersberg-Schiebroek;33.9
;WK059908;Kralingen-Crooswijk;28.2
;WK059910;Feijenoord;22
;WK059912;IJsselmonde;22.5
;WK059913;Pernis;27.2
;WK059914;Prins Alexander;28.2
;WK059915;Charlois;20.8
;WK059916;Hoogvliet;25.1
;WK059917;Hoek van Holland;28.6
;WK059918;Spaanse Polder;.
;WK059919;Nieuw Mathenesse;31
;WK059921;Waalhaven-Eemhaven;.
;WK059922;Vondelingenplaat;.
;WK059923;Botlek-Europoort-Maasvlakte;.
;WK059924;Rotterdam-Noord-West;.
;WK059925;Rivium;.
;WK059927;Rozenburg;27
GM0603;Totaal;Rijswijk;29.6
;WK060301;Wijk 01;39.6
;WK060302;Wijk 02;30.5
;WK060303;Wijk 03;39.8
;WK060304;Wijk 04;27.8
;WK060305;Wijk 05;30.7
;WK060306;Wijk 06;27.3
;WK060307;Wijk 07;23.5
;WK060308;Wijk 08;30.5
;WK060309;Wijk 09;24.8
;WK060310;Wijk 10;32.7
;WK060311;Wijk 11;33.1
GM0606;Totaal;Schiedam;25.8
;WK060600;Wijk 00 Centrum;31.7
;WK060601;Wijk 01 Oost;22.9
;WK060602;Wijk 02 Schiedamse Havens;.
;WK060603;Wijk 03 West;27.9
;WK060604;Wijk 04 Zuid;23.8
;WK060605;Wijk 05 Kethel;30.7
;WK060606;Wijk 06 Nieuwland;21.1
;WK060607;Wijk 07 Groenoord;21.3
;WK060608;Wijk 08 Industrie;.
;WK060609;Wijk 09 Woudhoek;27.8
;WK060610;Wijk 10 Spaland en Sveaparken;33.5
;WK060611;Wijk 11 Polderbuitengebied;32.5
GM0610;Totaal;Sliedrecht;25.4
;WK061001;Wijk 01 Sliedrecht-West;26.6
;WK061002;Wijk 02 Sliedrecht-Centrum;24.7
;WK061003;Wijk 03 Sliedrecht-Oost;25.3
;WK061004;Wijk 04 Sliedrecht-Noord;25.2
GM0613;Totaal;Albrandswaard;33
;WK061301;Wijk 01 Poortugaal-Noord;36.7
;WK061302;Wijk 02 Rhoon-Noord;33.8
;WK061303;Wijk 03 Poortugaal-Zuid;31.2
;WK061304;Wijk 04 Rhoon-Zuid;33.9
;WK061305;Wijk 05 Buitengebied Albrandswaard;38.9
;WK061306;Wijk 06 Portland;32
;WK061307;Wijk 07 Rotterdam-Albrandswaard;.
GM0622;Totaal;Vlaardingen;26.2
;WK062201;Centrum;24.9
;WK062202;Westwijk;22.8
;WK062203;Vettenoordse Polder;25.9
;WK062204;Oostwijk;29.9
;WK062205;Vlaardinger Ambacht;26.7
;WK062206;Holy Zuid;25.9
;WK062207;Holy Noord;28.6
;WK062208;Broekpolder;.
GM0626;Totaal;Voorschoten;34
;WK062600;Wijk 00;34
GM0627;Totaal;Waddinxveen;27.9
;WK062701;Wijk 01;25.2
;WK062702;Wijk 02;30.8
;WK062703;Wijk 03;24.6
;WK062704;Wijk 04;29.3
GM0629;Totaal;Wassenaar;45.3
;WK062900;Wijk 00 Zuidwestelijk deel der gemeente;71.2
;WK062901;Wijk 01 Noordoostelijk deel der gemeente;36.3
GM0632;Totaal;Woerden;30.4
;WK063201;Wijk 01 Woerden-Midden;28.9
;WK063202;Wijk 02 Woerden-West;29.1
;WK063203;Wijk 03 Woerden-Oost;34.5
;WK063204;Wijk 04 Buitengebied Woerden-West;35
;WK063205;Wijk 05 Buitengebied Woerden-Oost;35
;WK063206;Wijk 06 Harmelen;30.6
;WK063207;Wijk 07 Kamerik;29.4
;WK063208;Wijk 08 Zegveld;28.8
GM0637;Totaal;Zoetermeer;28.5
;WK063700;Centrum;27.3
;WK063701;Meerzicht;24.2
;WK063702;Buytenwegh de Leyens;27.6
;WK063703;Seghwaert;27.4
;WK063704;Noordhove;31.8
;WK063705;Rokkeveen;31.8
;WK063706;Oosterheem;29.6
;WK063708;Industriegebied;31.4
;WK063709;Buitengebied;40.3
GM0638;Totaal;Zoeterwoude;30.6
;WK063800;Zoeterwoude-Dorp;30.3
;WK063801;Westeinde;35.3
;WK063802;Zuidbuurt;32.4
;WK063803;Weipoort;35.5
;WK063804;Gelderswoude;.
;WK063809;Verspreide huizen;.
;WK063810;Zoeterwoude-Rijndijk;30.2
GM0642;Totaal;Zwijndrecht;26.5
;WK064201;Wijk 01 Walburg;26.6
;WK064202;Wijk 02 Centrum;27.6
;WK064203;Wijk 03 Noord;23.5
;WK064204;Wijk 04 Heer Oudelands Ambacht;30.8
;WK064205;Wijk 05 Kort Ambacht;23.5
;WK064206;Wijk 06 Nederhoven;26
;WK064207;Wijk 07 Verspreide bebouwing;31.8
;WK064208;Wijk 08 Bebouwde kom Heerjansdam;29.2
;WK064209;Wijk 09 Landelijk gebied Heerjansdam;33
GM0654;Totaal;Borsele;26.8
;WK065401;Baarland;26.8
;WK065402;Borssele;22.6
;WK065403;Driewegen;29.2
;WK065404;Ellewoutsdijk;27.4
;WK065405;Heinkenszand;28.7
;WK065406;Hoedekenskerke;26
;WK065407;Kwadendamme;29.2
;WK065408;Lewedorp;27.1
;WK065409;Nieuwdorp;26.2
;WK065410;Nisse;31.4
;WK065411;Oudelande;28.8
;WK065412;Ovezande;27.9
;WK065413;'s-Gravenpolder;23.7
;WK065414;'s-Heer Abtskerke;30.2
;WK065415;'s-Heerenhoek;26.2
GM0664;Totaal;Goes;27.4
;WK066401;Wijk 01 Goes;26.8
;WK066402;Wijk 02 Wilhelminadorp;28.5
;WK066403;Wijk 03 Kloetinge;30.6
;WK066404;Wijk 04 Kattendijke;31
;WK066405;Wijk 05 's-Heer-Arendskerke;28.7
;WK066406;Wijk 06 Eindewege;26.5
;WK066407;Wijk 07 's-Heer-Hendrikskinderen;29.7
;WK066408;Wijk 08 Wolphaartsdijk;26.5
;WK066409;Wijk 09 Oud-Sabbinge;29.5
GM0668;Totaal;West Maas en Waal;27.6
;WK066801;Wijk 01 Alphen;28.7
;WK066802;Wijk 02 Altforst;28
;WK066803;Wijk 03 Appeltern;30.5
;WK066804;Wijk 04 Beneden-Leeuwen;26.7
;WK066805;Wijk 05 Boven-Leeuwen;27.3
;WK066806;Wijk 06 Dreumel;27.7
;WK066807;Wijk 07 Maasbommel;27.8
;WK066808;Wijk 08 Wamel;28.1
GM0677;Totaal;Hulst;27.7
;WK067701;Hulst;28.2
;WK067702;Sint Jansteen;28.5
;WK067703;Clinge;26.1
;WK067704;Graauw;26.5
;WK067705;Heikant;30.1
;WK067706;Nieuw Namen;28
;WK067707;Kapellebrug;29.1
;WK067708;Kloosterzande;26.8
;WK067709;Lamswaarde;27.1
;WK067710;Terhole;27
;WK067711;Vogelwaarde;25.9
;WK067712;Hengstdijk;27
;WK067713;Ossenisse;30.2
;WK067714;Kuitaart;29.3
;WK067715;Walsoorden;27.9
GM0678;Totaal;Kapelle;27.2
;WK067800;Wijk 00 Kapelle;27
;WK067801;Wijk 01 Wemeldinge;28
;WK067802;Wijk 02 Schore;27.4
GM0687;Totaal;Middelburg;26.6
;WK068700;Binnenstad;31.6
;WK068710;Griffioen;27.6
;WK068711;Klarenbeek;28.2
;WK068712;Nieuw Middelburg;24.5
;WK068713;Brigdamme;28.9
;WK068714;Sint Laurens;26.8
;WK068715;Ramsburg;.
;WK068716;Veersepoort;35.4
;WK068717;Verspreide huizen in het noorden;.
;WK068718;Verspreide huizen in het noordwesten;.
;WK068719;Verspreide huizen in het noordoosten;.
;WK068720;Stromenwijk/'t Zand;24.1
;WK068729;Verspreide huizen in het zuidwesten;28.9
;WK068730;Middelburg Zuid;25.2
;WK068731;Dauwendaele;21.3
;WK068732;Arnestein;.
;WK068739;Mortiere;31.5
;WK068740;Nieuw- en Sint Joosland;25.7
;WK068749;Verspr.h. Nieuw- en Sint Joosland;26.3
;WK068750;Arnemuiden;25.2
;WK068751;Kleverskerke;.
;WK068752;Oranjeplaat;.
;WK068753;Veerse Meer;.
;WK068759;Verspreide huizen Arnemuiden;23.8
GM0703;Totaal;Reimerswaal;23.8
;WK070300;Wijk 00 Yerseke;25
;WK070301;Wijk 01 Kruiningen;23.4
;WK070302;Wijk 02 Krabbendijke;22.1
;WK070303;Wijk 03 Waarde;23.1
;WK070304;Wijk 04 Rilland-Bath;24.4
;WK070305;Wijk 05 Hansweert;24.6
;WK070306;Wijk 06 Oostdijk;23.2
GM0715;Totaal;Terneuzen;26.9
;WK071501;Kern Axel;25.7
;WK071502;Buitengebied Axel;28.4
;WK071503;Kern Biervliet;27.7
;WK071504;Buitengebied Biervliet;29.2
;WK071505;Kern Hoek;25.9
;WK071506;Buitengebied Hoek;27.1
;WK071507;Kern Koewacht;26.9
;WK071508;Buitengebied Koewacht;31.9
;WK071509;Kern Overslag;27.2
;WK071510;Buitengebied Overslag;.
;WK071511;Kern Philippine;30.3
;WK071512;Buitengebied Philippine;27.4
;WK071513;Kern Sas van Gent;23.5
;WK071514;Buitengebied Sas van Gent;29.5
;WK071515;Kern Sluiskil;24.3
;WK071516;Buitengebied Sluiskil;.
;WK071517;Kern Spui;32.8
;WK071518;Buitengebied Spui;.
;WK071519;Buitengebied Terneuzen;.
;WK071520;Terneuzen Centrum;25.6
;WK071521;Terneuzen Noord;24.6
;WK071522;Terneuzen West;32.3
;WK071523;Terneuzen Zuid;27.4
;WK071524;Terneuzen Oost;36
;WK071525;Kern Westdorpe;26.6
;WK071526;Buitengebied Westdorpe;.
;WK071527;Kern Zaamslag;25.3
;WK071528;Buitengebied Zaamslag;29.8
;WK071529;Kern Zuiddorpe;26.7
;WK071530;Buitengebied Zuiddorpe;32.9
GM0716;Totaal;Tholen;24.8
;WK071600;Tholen;26.1
;WK071601;Poortvliet;23.7
;WK071602;Scherpenisse;22.2
;WK071603;Sint-Maartensdijk;24.1
;WK071604;Stavenisse;22.2
;WK071605;Sint-Annaland;24.4
;WK071606;Oud-Vossemeer;25.2
;WK071607;Sint Philipsland;25.9
GM0717;Totaal;Veere;27.3
;WK071700;Wijk 00 Veere;29.8
;WK071701;Wijk 01 Gapinge;30.3
;WK071702;Wijk 02 Vrouwenpolder;25.1
;WK071703;Wijk 03 Serooskerke;26.7
;WK071704;Wijk 04 Domburg;30.6
;WK071705;Wijk 05 Oostkapelle;27.4
;WK071706;Wijk 06 Aagtekerke;22.5
;WK071707;Wijk 07 Grijpskerke;26.6
;WK071708;Wijk 08 Meliskerke;21.2
;WK071709;Wijk 09 Koudekerke;28.7
;WK071710;Wijk 10 Biggekerke;27.7
;WK071711;Wijk 11 Zoutelande;29.8
;WK071712;Wijk 12 Westkapelle;27.2
GM0718;Totaal;Vlissingen;25.4
;WK071801;Binnenstad;25.8
;WK071802;Middengebied;23.2
;WK071803;Paauwenburg - Westduin;27.9
;WK071804;Lammerenburg;27
;WK071805;Oost-Souburg;24.1
;WK071806;Ritthem e.o.;28.6
;WK071807;Binnen- en Buitenhavens;.
;WK071808;Sloegebied;.
GM0736;Totaal;De Ronde Venen;32.8
;WK073601;Mijdrecht;29.2
;WK073602;de Hoef;35.7
;WK073603;Amstelhoek;32.7
;WK073604;Vinkeveen;33.8
;WK073605;Waverveen;30.8
;WK073606;Wilnis;31.4
;WK073607;Abcoude;39.7
;WK073608;Baambrugge;35.7
GM0737;Totaal;Tytsjerksteradiel;24.7
;WK073700;Wijk 00 Burgum;23.8
;WK073701;Wijk 01 Aldtsjerk;27.1
;WK073702;Wijk 02 Mûnein;25.5
;WK073703;Wijk 03 Ryptsjerk;26.5
;WK073704;Wijk 04 Tytsjerk;26.3
;WK073705;Wijk 05 Earnewâld;23.9
;WK073706;Wijk 06 Sumar;23.2
;WK073707;Wijk 07 Eastermar;24
;WK073708;Wijk 08 Noordburgum;23.7
;WK073709;Wijk 09 Hurdegaryp;24.9
GM0743;Totaal;Asten;26.6
;WK074301;Asten industrie noord;31.6
;WK074302;Asten buitengebied oost;29.7
;WK074303;Asten noord;23.1
;WK074304;Asten oost;26
;WK074305;Asten zuid;27.7
;WK074306;Asten centrum / west;28.4
