Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen
;WK011904;Berggierslanden;29.2
;WK011905;Ezinge;22.3
;WK011906;Oosterboer;28.7
;WK011907;Nieuwveenselanden;26.3
;WK011908;Blankenstein;.
;WK011909;Industrieterrein Noord;.
;WK011910;Industrie Oevers;26.7
;WK011911;Verspreid gebied Meppel;26.8
;WK011912;Nijeveen;25.6
;WK011913;Rogat;32.1
GM0141;Totaal;Almelo;23.6
;WK014110;Binnenstad;24.1
;WK014111;De Riet;21
;WK014112;Noorderkwartier;27.2
;WK014113;Sluitersveld;25.5
;WK014114;Wierdense Hoek;20.1
;WK014115;Nieuwstraat-Kwartier;17
;WK014116;Ossenkoppelerhoek;18.9
;WK014117;Hofkamp;28.6
;WK014118;Schelfhorst;22.6
;WK014119;Windmolenbroek;26.3
;WK014120;Aadorp;26.4
;WK014121;Bornerbroek;27.7
GM0147;Totaal;Borne;27.4
;WK014700;Wijk 00 Borne;27.3
;WK014701;Wijk 01 Buitengebied Borne;28.4
GM0148;Totaal;Dalfsen;26.1
;WK014801;Dalfsen;27
;WK014802;Nieuwleusen;25.2
;WK014803;Lemelerveld;25.1
GM0150;Totaal;Deventer;26.3
;WK015001;Binnenstad;30.8
;WK015002;De Hoven;27.1
;WK015003;Zandweerd;25.2
;WK015004;Voorstad;22.9
;WK015005;Borgele en Platvoet;23.4
;WK015006;Keizerslanden;22.6
;WK015007;Rivierenwijk en Bergweide;21.5
;WK015008;Colmschate-Noord;24.2
;WK015009;Colmschate-Vijfhoek;28.7
;WK015010;Colmschate-Zuid;27.9
;WK015011;Diepenveen;32.7
;WK015012;Schalkhaar;28.9
;WK015013;Okkenbroek;25
;WK015014;Lettele;26.8
;WK015015;Bathmen;28.2
GM0153;Totaal;Enschede;23.4
;WK015300;Wijk 00 Binnensingelgebied;23.8
;WK015301;Wijk 01 Hogeland - Velve;24.1
;WK015302;Wijk 02 Boswinkel - Stadsveld;22.1
;WK015303;Wijk 03 Twekkelerveld - T.H.T.;21.6
;WK015304;Wijk 04 Enschede-Noord;23.4
;WK015305;Wijk 05 Ribbelt - Stokhorst;25.9
;WK015306;Wijk 06 Enschede-Zuid;21.6
;WK015307;Wijk 07 Bedrijfsterreinen Enschede-West;26.9
;WK015308;Wijk 08 Glanerbrug en omgeving;23.5
;WK015309;Wijk 09 Landelijk gebied en kernen;30.4
GM0158;Totaal;Haaksbergen;26.4
;WK015800;Wijk 00 Haaksbergen (dorp);25.9
;WK015801;Wijk 01 Haaksbergen (buitengebied);29.2
;WK015802;Wijk 02 Sint Isidorushoeve;26.8
;WK015803;Wijk 03 Buurse;26.3
;WK015804;Wijk 04 Rietmolen;25.4
;WK015805;Wijk 05 Hengevelde;39.1
;WK015806;Wijk 06 Beckum;28.3
;WK015809;Wijk 09 Haaksbergen-kern;25.5
GM0160;Totaal;Hardenberg;24.1
;WK016001;Ane;25
;WK016002;Anerveen;35
;WK016003;Anevelde;.
;WK016004;Balkbrug;25.6
;WK016005;Bergentheim;22.6
;WK016006;Brucht;24.8
;WK016007;Collendoorn;25.6
;WK016008;De Krim;22.5
;WK016009;Dedemsvaart;24
;WK016010;Den Velde;28.9
;WK016011;Diffelen;26.3
;WK016012;Gramsbergen;24.4
;WK016013;Heemserveen;24.6
;WK016014;Holtheme;27
;WK016015;Holthone;23.7
;WK016016;Hoogenweg;25.5
;WK016017;Kloosterhaar;22.8
;WK016018;Loozen;26.9
;WK016019;Lutten;23.6
;WK016020;Marienberg;21.3
;WK016021;Radewijk;25.9
;WK016022;Rheeze;24.7
;WK016023;Rheezerveen;24.6
;WK016024;Schuinesloot;24.6
;WK016025;Sibculo;20.8
;WK016026;Slagharen;23.5
;WK016027;Venebrugge;24
;WK016028;Hardenberg;24.5
;WK016029;Bruchterveld;23.2
GM0163;Totaal;Hellendoorn;25.2
;WK016301;Wijk 01 Hellendoorn;25.2
;WK016302;Wijk 02 Nijverdal Noord;27.6
;WK016303;Wijk 03 Nijverdal West;26.4
;WK016304;Wijk 04 Nijverdal Oost;23
